approach,char,ssim,ink_coverage,pixel_entropy,sharpness
01_GAN,0,0.0117,0.8409,2.0956,0.7197
01_GAN,1,0.0178,0.8428,2.0519,0.7203
01_GAN,2,0.0155,0.8455,2.0397,0.7203
01_GAN,3,0.0111,0.8447,2.0423,0.7204
01_GAN,4,0.0119,0.8456,2.0371,0.7204
01_GAN,5,0.011,0.8436,2.0668,0.7204
01_GAN,6,0.0125,0.8417,2.068,0.72
01_GAN,7,0.0155,0.8433,2.0711,0.7197
01_GAN,8,0.0064,0.8441,2.0348,0.7203
01_GAN,9,0.0106,0.8417,2.0649,0.7207
01_GAN,a,0.0126,0.8447,2.0323,0.7206
01_GAN,b,0.0129,0.8442,2.0357,0.7204
01_GAN,c,0.0183,0.8426,2.0815,0.7201
01_GAN,d,0.0093,0.8443,2.0627,0.7203
01_GAN,e,0.0159,0.8412,2.0745,0.7202
01_GAN,f,0.014,0.8444,2.0477,0.7206
01_GAN,g,0.0108,0.8442,2.0157,0.7208
01_GAN,h,0.0122,0.8442,2.0405,0.7208
01_GAN,i,0.0191,0.8451,2.0709,0.7199
01_GAN,j,0.0183,0.8427,2.0556,0.7204
01_GAN,k,0.0097,0.8459,1.9998,0.7209
01_GAN,l,0.0149,0.8455,2.0752,0.72
01_GAN,m,0.0161,0.8464,2.0272,0.7207
01_GAN,n,0.0147,0.8409,2.0622,0.7203
01_GAN,o,0.0129,0.8456,2.0278,0.7209
01_GAN,p,0.0139,0.8448,2.0279,0.7208
01_GAN,q,0.0126,0.8452,2.0246,0.7207
01_GAN,r,0.0163,0.8438,2.0607,0.7204
01_GAN,s,0.0179,0.8409,2.079,0.7201
01_GAN,t,0.0181,0.8434,2.0537,0.7204
01_GAN,u,0.0145,0.8448,2.0577,0.7204
01_GAN,v,0.0184,0.8435,2.0909,0.7199
01_GAN,w,0.021,0.8418,2.062,0.7202
01_GAN,x,0.0179,0.8421,2.0546,0.7204
01_GAN,y,0.0136,0.8461,2.0335,0.7206
01_GAN,z,0.0169,0.8422,2.055,0.72
01_GAN,A,0.0122,0.8442,2.0493,0.7203
01_GAN,B,0.0109,0.8414,2.0422,0.7204
01_GAN,C,0.0254,0.8412,2.0236,0.7208
01_GAN,D,0.0181,0.8444,2.025,0.7204
01_GAN,E,0.0158,0.8361,2.0577,0.7205
01_GAN,F,0.0164,0.8433,2.0696,0.72
01_GAN,G,0.0155,0.8434,2.0212,0.7209
01_GAN,H,0.0076,0.8422,2.0602,0.7201
01_GAN,I,0.0209,0.8408,2.0241,0.7211
01_GAN,J,0.0156,0.8453,2.0244,0.7207
01_GAN,K,0.0099,0.8433,2.0228,0.7208
01_GAN,L,0.0218,0.8447,2.0402,0.7208
01_GAN,M,0.0099,0.8481,2.002,0.7207
01_GAN,N,0.0099,0.846,2.0438,0.7203
01_GAN,O,0.0192,0.84,2.1062,0.72
01_GAN,P,0.0105,0.8422,2.0757,0.7199
01_GAN,Q,0.0113,0.8449,2.0302,0.7206
01_GAN,R,0.0079,0.8408,2.0224,0.7208
01_GAN,S,0.0139,0.8409,2.0793,0.7198
01_GAN,T,0.015,0.8477,2.0189,0.7204
01_GAN,U,0.0194,0.8433,2.069,0.7202
01_GAN,V,0.0155,0.8417,2.0841,0.7202
01_GAN,W,0.0176,0.8473,2.0144,0.7206
01_GAN,X,0.0081,0.843,2.0492,0.7205
01_GAN,Y,0.0151,0.8451,2.0152,0.7211
01_GAN,Z,0.0147,0.842,2.0521,0.7202
03_FontCNN,0,0.9125,0.0014,0.0213,0.7308
03_FontCNN,1,0.9324,0.0014,0.0213,0.7308
03_FontCNN,2,0.9193,0.0014,0.0213,0.7308
03_FontCNN,3,0.913,0.0014,0.0213,0.7308
03_FontCNN,4,0.9213,0.0014,0.0213,0.7308
03_FontCNN,5,0.9081,0.0014,0.0213,0.7308
03_FontCNN,6,0.9127,0.0014,0.0213,0.7308
03_FontCNN,7,0.9218,0.0014,0.0213,0.7308
03_FontCNN,8,0.9003,0.0014,0.0213,0.7308
03_FontCNN,9,0.9142,0.0014,0.0213,0.7308
03_FontCNN,a,0.9003,0.0014,0.0213,0.7308
03_FontCNN,b,0.9074,0.0014,0.0213,0.7308
03_FontCNN,c,0.9372,0.0014,0.0213,0.7308
03_FontCNN,d,0.904,0.0014,0.0213,0.7308
03_FontCNN,e,0.9224,0.0014,0.0213,0.7308
03_FontCNN,f,0.9109,0.0014,0.0213,0.7308
03_FontCNN,g,0.8951,0.0014,0.0213,0.7308
03_FontCNN,h,0.9142,0.0014,0.0213,0.7308
03_FontCNN,i,0.9516,0.0014,0.0213,0.7308
03_FontCNN,j,0.9256,0.0014,0.0213,0.7308
03_FontCNN,k,0.9181,0.0014,0.0404,0.7307
03_FontCNN,l,0.9331,0.0014,0.0213,0.7308
03_FontCNN,m,0.9071,0.0014,0.0213,0.7308
03_FontCNN,n,0.9291,0.0014,0.0213,0.7308
03_FontCNN,o,0.93,0.0014,0.0213,0.7308
03_FontCNN,p,0.9236,0.0014,0.0213,0.7308
03_FontCNN,q,0.9055,0.0014,0.0213,0.7308
03_FontCNN,r,0.9381,0.0014,0.0213,0.7308
03_FontCNN,s,0.9273,0.0014,0.0213,0.7308
03_FontCNN,t,0.9318,0.0014,0.0213,0.7308
03_FontCNN,u,0.9206,0.0014,0.0213,0.7308
03_FontCNN,v,0.9413,0.0014,0.0213,0.7308
03_FontCNN,w,0.921,0.0014,0.0213,0.7308
03_FontCNN,x,0.9307,0.0014,0.0213,0.7308
03_FontCNN,y,0.9129,0.0014,0.0213,0.7308
03_FontCNN,z,0.9266,0.0014,0.0213,0.7308
03_FontCNN,A,0.8787,0.0014,0.0213,0.7308
03_FontCNN,B,0.8596,0.0014,0.0213,0.7308
03_FontCNN,C,0.8892,0.0014,0.0213,0.7308
03_FontCNN,D,0.869,0.0014,0.0213,0.7308
03_FontCNN,E,0.8842,0.0014,0.0213,0.7308
03_FontCNN,F,0.9104,0.0014,0.0213,0.7308
03_FontCNN,G,0.87,0.0014,0.0213,0.7308
03_FontCNN,H,0.8971,0.0014,0.0213,0.7308
03_FontCNN,I,0.9123,0.0014,0.0213,0.7308
03_FontCNN,J,0.9091,0.0014,0.0213,0.7308
03_FontCNN,K,0.8991,0.0014,0.0213,0.7308
03_FontCNN,L,0.9281,0.0014,0.0213,0.7308
03_FontCNN,M,0.8706,0.0014,0.0213,0.7308
03_FontCNN,N,0.8875,0.0014,0.0213,0.7308
03_FontCNN,O,0.8835,0.0014,0.0213,0.7308
03_FontCNN,P,0.8986,0.0014,0.0213,0.7308
03_FontCNN,Q,0.8595,0.0014,0.0213,0.7308
03_FontCNN,R,0.8773,0.0014,0.0213,0.7308
03_FontCNN,S,0.8897,0.0014,0.0213,0.7308
03_FontCNN,T,0.9222,0.0014,0.0213,0.7308
03_FontCNN,U,0.9041,0.0014,0.0213,0.7308
03_FontCNN,V,0.9116,0.0014,0.0213,0.7308
03_FontCNN,W,0.8765,0.0014,0.0213,0.7308
03_FontCNN,X,0.8971,0.0014,0.0213,0.7308
03_FontCNN,Y,0.9087,0.0014,0.0213,0.7308
03_FontCNN,Z,0.8866,0.0014,0.0213,0.7308
04_BezierReg,0,0.7411,0.0069,0.6708,0.6342
04_BezierReg,1,0.7254,0.0054,0.6633,0.6279
04_BezierReg,2,0.7401,0.0102,0.7141,0.6321
04_BezierReg,3,0.7229,0.0095,0.7439,0.6515
04_BezierReg,4,0.75,0.0056,0.6183,0.6578
04_BezierReg,5,0.6813,0.0048,0.6716,0.6209
04_BezierReg,6,0.6807,0.0082,0.7582,0.6136
04_BezierReg,7,0.7637,0.0054,0.6257,0.6202
04_BezierReg,8,0.7197,0.0047,0.7159,0.6107
04_BezierReg,9,0.7146,0.003,0.646,0.6459
04_BezierReg,a,0.7276,0.0048,0.6616,0.6317
04_BezierReg,b,0.7502,0.0028,0.5999,0.6474
04_BezierReg,c,0.7682,0.0026,0.5563,0.6594
04_BezierReg,d,0.68,0.003,0.6556,0.6414
04_BezierReg,e,0.7082,0.0051,0.6926,0.6255
04_BezierReg,f,0.7254,0.0051,0.6651,0.6379
04_BezierReg,g,0.7198,0.0084,0.6542,0.6469
04_BezierReg,h,0.7725,0.0048,0.6097,0.6516
04_BezierReg,i,0.7056,0.0052,0.6807,0.6358
04_BezierReg,j,0.7086,0.0035,0.6515,0.6406
04_BezierReg,k,0.7108,0.0042,0.723,0.64
04_BezierReg,l,0.6718,0.0026,0.676,0.6348
04_BezierReg,m,0.7772,0.0067,0.5847,0.6308
04_BezierReg,n,0.7707,0.0035,0.5876,0.6483
04_BezierReg,o,0.7068,0.0045,0.6471,0.6501
04_BezierReg,p,0.734,0.006,0.6508,0.6345
04_BezierReg,q,0.7382,0.0084,0.6284,0.64
04_BezierReg,r,0.7632,0.0053,0.6117,0.6387
04_BezierReg,s,0.7424,0.0027,0.6287,0.6453
04_BezierReg,t,0.7339,0.0019,0.615,0.6447
04_BezierReg,u,0.6857,0.004,0.7606,0.6327
04_BezierReg,v,0.7316,0.0056,0.6425,0.6393
04_BezierReg,w,0.7344,0.0068,0.6713,0.64
04_BezierReg,x,0.679,0.0044,0.7591,0.6262
04_BezierReg,y,0.7022,0.0029,0.6629,0.6189
04_BezierReg,z,0.6781,0.006,0.7212,0.6297
04_BezierReg,A,0.6841,0.0061,0.7026,0.6272
04_BezierReg,B,0.7504,0.0005,0.5487,0.6711
04_BezierReg,C,0.7138,0.0021,0.6258,0.6487
04_BezierReg,D,0.7868,0.0074,0.5077,0.6663
04_BezierReg,E,0.7504,0.007,0.6481,0.6339
04_BezierReg,F,0.6907,0.0031,0.6538,0.6172
04_BezierReg,G,0.7198,0.0018,0.6361,0.643
04_BezierReg,H,0.7634,0.0078,0.6043,0.6457
04_BezierReg,I,0.7117,0.0054,0.6398,0.6257
04_BezierReg,J,0.7043,0.0045,0.6716,0.6293
04_BezierReg,K,0.7905,0.0031,0.5662,0.6599
04_BezierReg,L,0.7317,0.0049,0.647,0.6314
04_BezierReg,M,0.7593,0.0051,0.5867,0.6596
04_BezierReg,N,0.6803,0.0103,0.7889,0.626
04_BezierReg,O,0.6944,0.0064,0.6358,0.6263
04_BezierReg,P,0.6866,0.01,0.7337,0.6389
04_BezierReg,Q,0.6855,0.0041,0.6546,0.6355
04_BezierReg,R,0.7027,0.008,0.6869,0.6357
04_BezierReg,S,0.7175,0.0102,0.6737,0.6359
04_BezierReg,T,0.7462,0.0027,0.6225,0.6516
04_BezierReg,U,0.7408,0.0057,0.6203,0.6399
04_BezierReg,V,0.7392,0.0067,0.6643,0.6378
04_BezierReg,W,0.7502,0.0055,0.5585,0.6583
04_BezierReg,X,0.698,0.0038,0.6789,0.6327
04_BezierReg,Y,0.7497,0.0103,0.6817,0.637
04_BezierReg,Z,0.701,0.0023,0.6591,0.6539
05_CharNet,0,0.8394,0.0353,0.2205,0.7311
05_CharNet,1,0.9035,0.0159,0.1179,0.7311
05_CharNet,2,0.8275,0.0386,0.236,0.7311
05_CharNet,3,0.8468,0.03,0.1945,0.7311
05_CharNet,4,0.8657,0.0252,0.1698,0.7311
05_CharNet,5,0.8343,0.0267,0.1777,0.7311
05_CharNet,6,0.8569,0.0258,0.1726,0.7311
05_CharNet,7,0.8789,0.0206,0.1446,0.7311
05_CharNet,8,0.8697,0.0236,0.161,0.7311
05_CharNet,9,0.8715,0.0259,0.1733,0.7311
05_CharNet,a,0.8466,0.0307,0.1979,0.7311
05_CharNet,b,0.8447,0.0272,0.1799,0.7311
05_CharNet,c,0.8253,0.0306,0.1976,0.7311
05_CharNet,d,0.8476,0.0313,0.2009,0.7311
05_CharNet,e,0.8411,0.0311,0.2,0.7311
05_CharNet,f,0.8709,0.0187,0.1339,0.7311
05_CharNet,g,0.857,0.0199,0.1409,0.7311
05_CharNet,h,0.8673,0.022,0.1524,0.7311
05_CharNet,i,0.8998,0.0195,0.1385,0.7311
05_CharNet,j,0.8889,0.0215,0.15,0.7311
05_CharNet,k,0.8736,0.0177,0.1283,0.7311
05_CharNet,l,0.8899,0.0184,0.1322,0.7311
05_CharNet,m,0.8676,0.0181,0.1308,0.7311
05_CharNet,n,0.8884,0.019,0.1357,0.7311
05_CharNet,o,0.8604,0.0298,0.1936,0.7311
05_CharNet,p,0.8786,0.0164,0.1205,0.7311
05_CharNet,q,0.865,0.0197,0.1395,0.7311
05_CharNet,r,0.8947,0.0157,0.1165,0.7311
05_CharNet,s,0.8688,0.024,0.1636,0.7311
05_CharNet,t,0.8963,0.0148,0.111,0.7311
05_CharNet,u,0.8553,0.0275,0.1818,0.7311
05_CharNet,v,0.8553,0.028,0.184,0.7311
05_CharNet,w,0.8605,0.0297,0.1927,0.7311
05_CharNet,x,0.88,0.0181,0.1304,0.7311
05_CharNet,y,0.8568,0.025,0.1685,0.7311
05_CharNet,z,0.8683,0.0262,0.1752,0.7311
05_CharNet,A,0.8453,0.0247,0.1672,0.7311
05_CharNet,B,0.8069,0.0312,0.2003,0.7311
05_CharNet,C,0.8018,0.0319,0.2036,0.7311
05_CharNet,D,0.7743,0.0383,0.2346,0.7311
05_CharNet,E,0.8277,0.0237,0.1616,0.7311
05_CharNet,F,0.8572,0.0197,0.1398,0.7311
05_CharNet,G,0.8197,0.0264,0.1758,0.7311
05_CharNet,H,0.8598,0.0219,0.1517,0.7311
05_CharNet,I,0.8684,0.0245,0.1659,0.7311
05_CharNet,J,0.8442,0.0253,0.1701,0.7311
05_CharNet,K,0.87,0.0178,0.1287,0.7311
05_CharNet,L,0.8438,0.0264,0.1762,0.7311
05_CharNet,M,0.8433,0.0251,0.1694,0.7311
05_CharNet,N,0.8368,0.0358,0.2228,0.7311
05_CharNet,O,0.8015,0.0352,0.2196,0.7311
05_CharNet,P,0.8425,0.0247,0.1669,0.7311
05_CharNet,Q,0.8026,0.0319,0.2036,0.7311
05_CharNet,R,0.8495,0.0158,0.1172,0.7311
05_CharNet,S,0.8264,0.0264,0.1762,0.7311
05_CharNet,T,0.8733,0.0195,0.1385,0.7311
05_CharNet,U,0.8283,0.0322,0.2051,0.7311
05_CharNet,V,0.8407,0.0305,0.197,0.7311
05_CharNet,W,0.8273,0.034,0.2141,0.7311
05_CharNet,X,0.85,0.0214,0.149,0.7311
05_CharNet,Y,0.8756,0.0145,0.1095,0.7311
05_CharNet,Z,0.8255,0.0294,0.1915,0.7311
